model,coverage_pct,pct_answers_with_citation,citation_acc,n_cited
Qwen3-4B-Instruct,0.0,16.49484536082474,12.5,16
Qwen3-4B-Instruct,47.5,56.70103092783505,65.45454545454545,55
Qwen3-4B-Instruct,100.0,75.25773195876289,82.1917808219178,73
Qwen3-4B-Instruct,0.0,45.36082474226804,13.636363636363635,44
Qwen3-4B-Instruct,47.5,71.1340206185567,62.31884057971014,69
Qwen3-4B-Instruct,100.0,81.44329896907216,89.87341772151899,79
Qwen3-8B,0.0,51.546391752577314,12.0,50
Qwen3-8B,47.5,72.16494845360825,54.285714285714285,70
Qwen3-8B,100.0,80.41237113402062,84.61538461538461,78
