model,coverage_pct,pct_high,ci_lo,ci_hi,n
Qwen3-4B-Instruct,0.0,21.649484536082475,17.303281858876623,26.73443907088459,291.0
Qwen3-4B-Instruct,9.6,30.927835051546392,25.89477532313436,36.45787330234136,291.0
Qwen3-4B-Instruct,23.73333333333333,43.29896907216495,37.729880052946726,49.042672166815,291.0
Qwen3-4B-Instruct,39.6,54.29553264604811,48.55318205078426,59.92595114167615,291.0
Qwen3-4B-Instruct,52.10000000000001,59.106529209621996,53.37487426818458,64.60088809983152,291.0
Qwen3-4B-Instruct,67.5,67.0103092783505,61.417330110634495,72.16003733150876,291.0
Qwen3-4B-Instruct,83.73333333333333,72.85223367697594,67.46952824153263,77.6394603423568,291.0
Qwen3-4B-Instruct,100.0,77.31958762886599,72.17045131911716,81.75683578493111,291.0
Qwen3-4B-Instruct,closed-book,2.0618556701030926,,,97.0
Qwen3-4B-Instruct,0.0,49.48453608247423,39.74582344396337,59.26252092977472,97.0
Qwen3-4B-Instruct,47.5,76.28865979381443,66.92591230575403,83.64852463360334,97.0
Qwen3-4B-Instruct,100.0,90.72164948453609,83.29911632283566,95.04167815185518,97.0
Qwen3-4B-Instruct,closed-book,3.0927835051546393,,,97.0
Qwen3-8B,0.0,96.56357388316151,93.79092029643144,98.12288350983953,291.0
Qwen3-8B,9.6,94.50171821305841,91.25621038338164,96.5876094905083,291.0
Qwen3-8B,23.73333333333333,96.56357388316151,93.79092029643144,98.12288350983953,291.0
Qwen3-8B,39.6,97.59450171821305,95.11880179340683,98.82999397905462,291.0
Qwen3-8B,52.10000000000001,98.28178694158075,96.04155138680642,99.26390569644869,291.0
Qwen3-8B,67.5,98.62542955326461,96.51959509258117,99.4641926460708,291.0
Qwen3-8B,83.73333333333333,98.62542955326461,96.51959509258117,99.4641926460708,291.0
Qwen3-8B,100.0,98.96907216494846,97.01333446370154,99.64878393034725,291.0
Qwen3-8B,closed-book,2.0618556701030926,,,97.0
