outcome,term,coef,se,z,p,odds_ratio,ci_lo,ci_hi
cite_ok,절편,-0.8340019619935793,0.25931789258197485,-3.2161373582424013,0.0012992862793557158,0.4343077208141995,0.26125569105414376,0.7219869377686917
cite_ok,커버리지(+10%p),0.30163782324810634,0.03295028380507783,9.154331569114504,0.0,1.3520714491760273,1.2675126715480292,1.4422713434843093
cite_ok,문자비율(+10%p),-0.013792480770554328,0.03593257507694861,-0.38384337167648336,0.7010945398894233,0.9863021996996404,0.9192298916331727,1.0582684897289558
cite_ok,모델=Qwen3-14B,0.08945779524399895,0.23968281270509853,0.37323408480718323,0.7089742300424287,1.0935811780115856,0.6836481560998494,1.749320585787609
cite_ok,모델=Qwen3-8B,-0.2125201038697688,0.18105666477311552,-1.1737767518035336,0.24048445827612763,0.8085440612935479,0.5670064237315526,1.1529737083941354
correct_answered,절편,-0.21803096983819029,0.39004560909050157,-0.5589883971430658,0.5761696388487894,0.8041005384173734,0.3743716284421743,1.7271011656883088
correct_answered,커버리지(+10%p),0.2208482480091796,0.022496246977021718,9.81711519413705,0.0,1.247134161111651,1.1933403768876505,1.30335287897335
correct_answered,문자비율(+10%p),-0.06545377129521365,0.03816241473709866,-1.7151370463878002,0.08632010356882236,0.9366423455212788,0.8691402887558574,1.0093869709795917
correct_answered,모델=Qwen3-14B,-0.20772947919124787,0.227857055534387,-0.9116657752996304,0.36194468563037674,0.8124267853383325,0.5197948306733157,1.269803473574753
correct_answered,모델=Qwen3-8B,-0.4997379022368089,0.21954029976137157,-2.2762923380354176,0.022828518399274467,0.606689650876555,0.3945422752170238,0.9329097427601454
overconf_answered,절편,0.14083231263585275,0.38733730571410846,0.3635908820510057,0.7161635365103023,1.1512315848080894,0.5388409385087853,2.459601836355529
overconf_answered,커버리지(+10%p),-0.22530254592103865,0.02224003554327695,-10.130493968079403,0.0,0.7982746674765284,0.7642256235730416,0.8338407206963493
overconf_answered,문자비율(+10%p),0.06963668108148366,0.0383165775597313,1.817403471719983,0.06915535655214855,1.0721185895190128,0.9945524610017455,1.1557341769930223
overconf_answered,모델=Qwen3-14B,0.23767058403418753,0.21435417010245858,1.1087751823096514,0.26752717923267544,1.2682913285901751,0.8332214137590601,1.9305347505653216
overconf_answered,모델=Qwen3-8B,0.5708078511269099,0.224069878335086,2.547454639455347,0.010851195933303082,1.7696961251255892,1.1406964073917163,2.745537160448909
abstain,절편,1.6548623405165794,0.2322998541204359,7.123819973036297,1.049826892085548e-12,5.232359588680789,3.3186663248087753,8.24957503579011
abstain,커버리지(+10%p),-0.20217017217612743,0.028392817207275524,-7.120468909450883,1.0755840662568517e-12,0.8169558929505251,0.7727350293871766,0.8637073584665753
abstain,문자비율(+10%p),-0.1362210664711775,0.03188693004568627,-4.2720031773521505,1.9372481548929343e-05,0.8726496975745678,0.8197807922894007,0.9289281986594196
abstain,모델=Qwen3-14B,-0.7059585046011416,0.18576455500203612,-3.80028636029841,0.00014452897477501558,0.49363519581820137,0.34299125011539155,0.7104429237436666
abstain,모델=Qwen3-8B,-1.4381955165396747,0.17604320439758472,-8.16955997512737,2.220446049250313e-16,0.23735567687349074,0.1680936764802907,0.33515667289648854
correct_all,절편,1.8172619095401832,0.2689147161986391,6.757762963771113,1.4013901150633501e-11,6.154982457682681,3.63350864702626,10.426233355846405
correct_all,커버리지(+10%p),0.0617961238677083,0.022755737684506144,2.7156282395443436,0.006615015190239104,1.0637454503108352,1.0173443946658474,1.1122628570914446
correct_all,문자비율(+10%p),-0.14947937614338028,0.03518953497945964,-4.247836074862381,2.158452306511016e-05,0.8611561981985175,0.8037639902701913,0.9226464567620569
correct_all,모델=Qwen3-14B,0.07258033317349455,0.2302220157883062,0.31526234762983585,0.7525624706117349,1.0752791832098143,0.6847876243615831,1.6884436586048068
correct_all,모델=Qwen3-8B,-0.6080230251016032,0.19533817849069787,-3.1126686539188633,0.0018540404591487203,0.5444261226281119,0.37125028553449907,0.7983826936944847
overconf_all,절편,-2.5258546586615043,0.34357352386824486,-7.351715086259471,1.9562129693895258e-13,0.0799899194868981,0.040792934300245325,0.1568503793433159
overconf_all,커버리지(+10%p),-0.08053736375859806,0.023293214574055088,-3.4575461236811766,0.0005451189200258444,0.9226204303726981,0.8814462757427675,0.9657179138045582
overconf_all,문자비율(+10%p),0.1577056015009311,0.0395428076586482,3.9882246820286205,6.65696009625183e-05,1.1708214558855732,1.083507130155687,1.265171998789747
overconf_all,모델=Qwen3-14B,0.5429119300296747,0.23573819261462894,2.303029152841583,0.021277202886040403,1.721011036464656,1.0842338003321172,2.7317714931280332
overconf_all,모델=Qwen3-8B,1.164807244899934,0.21980857884580052,5.299189190050067,1.163180596286395e-07,3.2053049847701094,2.0833774416940742,4.931406013995209
